id,iddep,nom,dep,resp,primer-nombre,nombre-medio,apellido-catalan,centres-cp,centres-com,centres-pob,iddep-scraped
18893,5823,900 900 120 Contra la violència masclista,Departament de Benestar Social i Família,null,null,,,,,,62
15437,5823,Agència Catalana de la Joventut,Departament de Benestar Social i Família,Jordi Boixadera i Vinos,Jordi,,Boixadera,8015,Barcelonès,Barcelona,13766
11578,5823,Alberg Anna Maria Janer,Departament de Benestar Social i Família,null,null,,,17527,Cerdanya,Llívia,17136
19074,5823,Alberg Barcelona Urbany Hostel,Departament de Benestar Social i Família,null,null,,,8026,Barcelonès,Barcelona,17136
16611,5823,Alberg Be Hostels Mar,Departament de Benestar Social i Família,null,null,,,8001,Barcelonès,Barcelona,17136
17655,5823,Alberg Be Hostels Sound,Departament de Benestar Social i Família,null,null,,,8001,Barcelonès,Barcelona,17136
17656,5823,Alberg Ca la Jepa,Departament de Benestar Social i Família,null,null,,,43595,Terra Alta,Prat de Comte,17136
2553,5823,Alberg Casa Gran,Departament de Benestar Social i Família,null,null,,,43893,Tarragonès,Altafulla,17136
11575,5823,Alberg Center-Rambles,Departament de Benestar Social i Família,null,null,,,8001,Barcelonès,Barcelona,17136
19071,5823,Alberg Costa Brava,Departament de Benestar Social i Família,null,null,,,17490,Alt Empordà,Llançà,17136
19072,5823,Alberg Equity Point Centric,Departament de Benestar Social i Família,null,null,,,8007,Barcelonès,Barcelona,17136
19073,5823,Alberg Equity Point Girona,Departament de Benestar Social i Família,null,null,,,17002,Gironès,Girona,17136
2556,5823,Alberg Era Garona,Departament de Benestar Social i Família,null,null,,,25598,Naut Aran,Salardú,17136
17658,5823,Alberg Escola de Piraguisme de Sort,Departament de Benestar Social i Família,null,null,,,25560,Pallars Sobirà,Sort,17136
16610,5823,Alberg Ideal Youth Hostel,Departament de Benestar Social i Família,null,null,,,8001,Barcelonès,Barcelona,17136
16606,5823,Alberg In/Out,Departament de Benestar Social i Família,null,null,,,8017,Barcelonès,Barcelona,17136
2542,5823,Alberg Jaume I,Departament de Benestar Social i Família,null,null,,,43440,Conca de Barberà,L'Espluga de Francolí,17136
2545,5823,Alberg Josep Maria Batista i Roca,Departament de Benestar Social i Família,null,null,,,8320,Maresme,El Masnou,17136
2540,5823,Alberg Mare de Déu de Montserrat,Departament de Benestar Social i Família,null,null,,,8023,Barcelonès,Barcelona,17136
2541,5823,Alberg Mare de Déu de les Neus,Departament de Benestar Social i Família,null,null,,,17537,Alp,La Molina,17136
2546,5823,Alberg Mas Silvestre,Departament de Benestar Social i Família,null,null,,,8319,Dosrius,Canyamars,17136
11579,5823,Alberg Mas de la Coixa,Departament de Benestar Social i Família,null,null,,,43770,Ribera d'Ebre,Móra la Nova,17136
2557,5823,Alberg Matacabós,Departament de Benestar Social i Família,null,null,,,25540,Val d'Aran,Les,17136
16607,5823,Alberg Montsec Mur,Departament de Benestar Social i Família,null,null,,,25632,Pallars Jussà,Castell de Mur,17136
2538,5823,Alberg Mossèn Antoni Batlle,Departament de Benestar Social i Família,null,null,,,43580,Baix Ebre,Deltebre,17136
19075,5823,Alberg Món Natura Pirineus,Departament de Benestar Social i Família,null,null,,,25589,Pallars Sobirà,Alt Àneu,17136
2550,5823,Alberg Pere Figuera,Departament de Benestar Social i Família,null,null,,,17535,Ripollès,Planoles,17136
11574,5823,Alberg Pere Tarrés,Departament de Benestar Social i Família,null,null,,,8029,Barcelonès,Barcelona,17136
19070,5823,Alberg Pere el Gran,Departament de Benestar Social i Família,null,null,,,43815,Alt Camp,Aiguamúrcia,17136
2551,5823,Alberg Pic de l'Àliga,Departament de Benestar Social i Família,null,null,,,17534,Queralbs,Núria,17136
10054,5823,Alberg Rectoria de la Selva,Departament de Benestar Social i Família,null,null,,,25286,Solsonès,Navès,17136
16609,5823,Alberg Ruta del Ferro,Departament de Benestar Social i Família,null,null,,,17860,Ripollès,Sant Joan de les Abadesses,17136
2539,5823,Alberg Santa Maria del Mar,Departament de Benestar Social i Família,null,null,,,43880,El Vendrell,Coma-ruga,17136
2547,5823,Alberg Torre Ametller,Departament de Benestar Social i Família,null,null,,,8349,Maresme,Cabrera de Mar,17136
19076,5823,Alberg Twentytú Hostel,Departament de Benestar Social i Família,null,null,,,8018,Barcelonès,Barcelona,17136
10055,5823,Alberg Viladoms de Baix,Departament de Benestar Social i Família,null,null,,,8296,Bages,Castellbell i el Vilar,17136
2534,5823,Alberg d'Empúries,Departament de Benestar Social i Família,null,null,,,17130,Alt Empordà,L'Escala,17136
9946,5823,Alberg de Banyoles,Departament de Benestar Social i Família,null,null,,,17820,Pla de l'Estany,Banyoles,17136
11576,5823,Alberg de Berga,Departament de Benestar Social i Família,null,null,,,8600,Berguedà,Berga,17136
16604,5823,Alberg del Pallars,Departament de Benestar Social i Família,null,null,,,25620,Pallars Jussà,Tremp,17136
2548,5823,Alberg l'Encanyissada,Departament de Benestar Social i Família,null,null,,,43549,Amposta,Poblenou del Delta,17136
11586,5823,Alberg la Conreria,Departament de Benestar Social i Família,null,null,,,8391,Maresme,Tiana,17136
11580,5823,Alberg la Sala,Departament de Benestar Social i Família,null,null,,,8696,Berguedà,La Pobla de Lillet,17136
2536,5823,Alberg la Valira,Departament de Benestar Social i Família,null,null,,,25700,Alt Urgell,La Seu d'Urgell,17136
2549,5823,Alberg-Residència Canonge Collell,Departament de Benestar Social i Família,null,null,,,8500,Osona,Vic,17136
2544,5823,Alberg-Residència Cerverí de Girona,Departament de Benestar Social i Família,null,null,,,17004,Gironès,Girona,17136
17657,5823,Alberg-Residència Esportiva Àster,Departament de Benestar Social i Família,null,null,,,43890,Vandellòs i l'Hospitalet de l'Infant,L'Hospitalet de l'Infant,17136
2552,5823,Alberg-Residència Sant Anastasi,Departament de Benestar Social i Família,null,null,,,25003,Segrià,Lleida,17136
11585,5823,Alberg-Residència Sant Jordi,Departament de Benestar Social i Família,null,null,,,43005,Tarragonès,Tarragona,17136
2543,5823,Alberg-Residència Torre Malagrida,Departament de Benestar Social i Família,null,null,,,17800,Garrotxa,Olot,17136
16608,5823,Alberg-Residència Vila-Nova,Departament de Benestar Social i Família,null,null,,,8800,Garraf,Vilanova i la Geltrú,17136
2537,5823,Alberg-Residència del Carme,Departament de Benestar Social i Família,null,null,,,8240,Bages,Manresa,17136
17136,5823,Albergs,Departament de Benestar Social i Família,null,null,,,,,,id-415676639
12577,5823,Asatej Viatges,Departament de Benestar Social i Família,null,null,,,8002,Barcelonès,Barcelona,13766
5865,5823,Assessoria Jurídica,Departament de Benestar Social i Família,Félix Salaverría i Palanca,Félix,,Salaverría,8039,Barcelonès,Barcelona,5828
10058,5823,Casa del Mar d'Arenys de Mar,Departament de Benestar Social i Família,null,null,,,8350,Maresme,Arenys de Mar,id-984113595
10056,5823,Casa del Mar de Barcelona,Departament de Benestar Social i Família,null,null,,,8004,Barcelonès,Barcelona,id-984113595
10059,5823,Casa del Mar de Blanes,Departament de Benestar Social i Família,null,null,,,17300,Selva,Blanes,id-984113595
10068,5823,Casa del Mar de Cambrils,Departament de Benestar Social i Família,null,null,,,43850,Baix Camp,Cambrils,id-984113595
10069,5823,Casa del Mar de L'Ametlla de Mar,Departament de Benestar Social i Família,null,null,,,43860,Baix Ebre,L'Ametlla de Mar,id-984113595
10063,5823,Casa del Mar de Llançà,Departament de Benestar Social i Família,null,null,,,17490,Alt Empordà,Llançà,id-984113595
10066,5823,Casa del Mar de Palamós,Departament de Benestar Social i Família,null,null,,,17230,Baix Empordà,Palamós,id-984113595
10064,5823,Casa del Mar de Roses,Departament de Benestar Social i Família,null,null,,,17480,Alt Empordà,Roses,id-984113595
10070,5823,Casa del Mar de Sant Carles de la Ràpita,Departament de Benestar Social i Família,null,null,,,43540,Montsià,Sant Carles de la Ràpita,id-984113595
10067,5823,Casa del Mar de Tarragona,Departament de Benestar Social i Família,null,null,,,43005,Tarragonès,Tarragona,id-984113595
10060,5823,Casa del Mar de Tossa de Mar,Departament de Benestar Social i Família,null,null,,,17320,Selva,Tossa de Mar,id-984113595
10057,5823,Casa del Mar de Vilanova i la Geltrú,Departament de Benestar Social i Família,null,null,,,8800,Garraf,Vilanova i la Geltrú,id-984113595
10062,5823,Casa del Mar del Port de la Selva,Departament de Benestar Social i Família,null,null,,,17489,Alt Empordà,El Port de la Selva,id-984113595
11234,5823,Casal Cívic Arraona - Els Merinals,Departament de Benestar Social i Família,null,null,,,8205,Vallès Occidental,Sabadell,id-1494142405
13375,5823,Casal Cívic Badia,Departament de Benestar Social i Família,null,null,,,8214,Vallès Occidental,Badia del Vallès,id-1494142405
11753,5823,Casal Cívic Balaguer,Departament de Benestar Social i Família,null,null,,,25600,Noguera,Balaguer,id-1494142405
15245,5823,Casal Cívic Barcelona - Magòria,Departament de Benestar Social i Família,null,null,,,8014,Barcelonès,Barcelona,id-1494142405
6183,5823,Casal Cívic Girona-Montilivi,Departament de Benestar Social i Família,null,null,,,17003,Gironès,Girona,id-1494142405
6089,5823,Casal Cívic Llefià de Badalona,Departament de Benestar Social i Família,null,null,,,8913,Barcelonès,Badalona,id-1494142405
12335,5823,Casal Cívic Molins de Rei - Riera Bonet -,Departament de Benestar Social i Família,null,null,,,8750,Baix Llobregat,Molins de Rei,id-1494142405
8662,5823,Casal Cívic Montserrat,Departament de Benestar Social i Família,null,null,,,8700,Anoia,Igualada,id-1494142405
7668,5823,Casal Cívic Rogelio Soto (Sabadell),Departament de Benestar Social i Família,null,null,,,8204,Vallès Occidental,Sabadell,id-1494142405
10901,5823,Casal Cívic Salut Alta,Departament de Benestar Social i Família,null,null,,,8914,Barcelonès,Badalona,id-1494142405
6104,5823,Casal Cívic Sant Adrià de Sant Adrià de Besòs,Departament de Benestar Social i Família,null,null,,,8930,Barcelonès,Sant Adrià de Besòs,id-1494142405
6108,5823,Casal Cívic Sant Llorenç de Munt de Terrassa,Departament de Benestar Social i Família,null,null,,,8227,Vallès Occidental,Terrassa,id-1494142405
6100,5823,Casal Cívic d'Olesa de Montserrat,Departament de Benestar Social i Família,null,null,,,8640,Baix Llobregat,Olesa de Montserrat,id-1494142405
15253,5823,Casal Cívic de Blanes - Can Borell,Departament de Benestar Social i Família,null,null,,,17300,Selva,Blanes,id-1494142405
6106,5823,Casal Cívic de Campclar de Tarragona,Departament de Benestar Social i Família,null,null,,,43006,Tarragonès,Tarragona,id-1494142405
6105,5823,Casal Cívic de Camps Blancs de Sant Boi de Llobregat,Departament de Benestar Social i Família,null,null,,,8830,Baix Llobregat,Sant Boi de Llobregat,id-1494142405
6091,5823,Casal Cívic de Canovelles,Departament de Benestar Social i Família,null,null,,,8420,Vallès Oriental,Canovelles,id-1494142405
6092,5823,Casal Cívic de Fontsanta - Fatjó de Cornellà de Llobregat,Departament de Benestar Social i Família,null,null,,,8940,Baix Llobregat,Cornellà de Llobregat,id-1494142405
6097,5823,Casal Cívic de Lleida,Departament de Benestar Social i Família,null,null,,,25003,Segrià,Lleida,id-1494142405
15254,5823,Casal Cívic de Manlleu - Frederica Montseny,Departament de Benestar Social i Família,null,null,,,8560,Osona,Manlleu,id-1494142405
15249,5823,Casal Cívic de Manresa - Mión/Puigberenguer,Departament de Benestar Social i Família,null,null,,,8242,Bages,Manresa,id-1494142405
15247,5823,Casal Cívic de Ripoll - La Devesa del Pla,Departament de Benestar Social i Família,null,null,,,17500,Ripollès,Ripoll,id-1494142405
14297,5823,Casal Cívic de Sallent - Verge de Fussimanya,Departament de Benestar Social i Família,null,null,,,8650,Bages,Sallent,id-1494142405
6101,5823,Casal Cívic de Sant Josep Obrer de Reus,Departament de Benestar Social i Família,null,null,,,43204,Baix Camp,Reus,id-1494142405
6088,5823,Casal Cívic de Sant Roc de Badalona,Departament de Benestar Social i Família,null,null,,,8918,Barcelonès,Badalona,id-1494142405
15252,5823,Casal Cívic de Sant Vicenç dels Horts - Sant Josep,Departament de Benestar Social i Família,null,null,,,8620,Baix Llobregat,Sant Vicenç dels Horts,id-1494142405
6103,5823,Casal Cívic de la Mina de Sant Adrià de Besòs,Departament de Benestar Social i Família,null,null,,,8930,Barcelonès,Sant Adrià de Besòs,id-1494142405
6095,5823,Casal Cívic del Bon Pastor de Figueres,Departament de Benestar Social i Família,null,null,,,17600,Alt Empordà,Figueres,id-1494142405
6093,5823,Casal Cívic del Delta del Llobregat del Prat de Llobregat,Departament de Benestar Social i Família,null,null,,,8820,Baix Llobregat,El Prat de Llobregat,id-1494142405
6096,5823,Casal Cívic del Gornal de L'Hospitalet de Llobregat,Departament de Benestar Social i Família,null,null,,,8902,Barcelonès,L'Hospitalet de Llobregat,id-1494142405
