id,iddep,nom,dep,resp,primer-nombre,nombre-medio,apellido-catalan,centres-cp,centres-com,centres-pob
16286,13760,Divisió de la Sala Central de Bombers,Departament d'Interior,Manel Bosch Serch,Manel,Bosch,Serch,8290,Vallès Occidental,Cerdanyola del Vallès
535,6,012 Atenció Ciutadana,Departament de la Presidència,null,null,,,null,España,Catalunya
3383,2803,061 CatSalut Respon,Departament de Salut,null,null,,,,,
18893,5823,900 900 120 Contra la violència masclista,Departament de Benestar Social i Família,null,null,,,,,
5502,15638,ACC1Ó a Comarques Centrals,Departament d'Empresa i Ocupació,Montserrat Fontarnau,Montserrat,,Fontarnau,8243,Bages,Manresa
5504,15638,ACC1Ó a Girona,Departament d'Empresa i Ocupació,Ferran Rodero,Ferran,,Rodero,17002,Gironès,Girona
5505,15638,ACC1Ó a Lleida,Departament d'Empresa i Ocupació,Clara Porta Sànchez,Clara,Porta,Sànchez,25007,Segrià,Lleida
,,,,,,,,25007,Segrià,Lleida
5509,15638,ACC1Ó a Nova York,Departament d'Empresa i Ocupació,Clara Barreneche,Clara,,Barreneche,NY 10022,Estats Units d'Amèrica,Nova York
5506,15638,ACC1Ó a Tarragona,Departament d'Empresa i Ocupació,Mònica Boquera i Castellví,Mònica,,Boquera,43004,Tarragonès,Tarragona
5503,15638,ACC1Ó a Terres de l'Ebre,Departament d'Empresa i Ocupació,Mònica Boquera i Castellví,Mònica,,Boquera,43500,Baix Ebre,Tortosa
5508,15638,ACC1Ó a Tòquio,Departament d'Empresa i Ocupació,Akio Hayashiya,Akio,,Hayashiya,100-0011,Japó,Tokyo
5521,15638,"AVANÇSA - Empresa de Promoció i Localització Industrial de Catalunya, SA",Departament d'Empresa i Ocupació,Felipe Muntadas-Prim Lafita,Felipe,Muntadas-Prim,Lafita,8008,Barcelonès,Barcelona
18294,3392,Adjunt a Direcció,Departament de Territori i Sostenibilitat,Francesc Giró i Fontanals,Francesc,,Giró,8017,Barcelonès,Barcelona
14550,3392,Adjunt a Gerència,Departament de Territori i Sostenibilitat,Francesc Camps i Xicart,Francesc,,Camps,,,
15133,13757,Adjunt al Gabinet Tècnic,Departament de Justícia,Bernat Sánchez Blanco,Bernat,Sánchez,Blanco,8009,Barcelonès,Barcelona
15018,6,Adjunt al Gabinet de Relacions Externes i Protocol de l'Oficina del President,Departament de la Presidència,Josep Maria París Artigues,Josep,Maria París,Artigues,8002,Barcelonès,Barcelona
13771,13760,Adjunt al cap del Gabinet del Conseller,Departament d'Interior,Xavier Beltran Serra,Xavier,Beltran,Serra,8009,Barcelonès,Barcelona
19077,4163,Adjunt al cap del Gabinet del Conseller,"Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",Víctor Gonzalo Pérez,Víctor,Gonzalo,Pérez,8007,Barcelonès,Barcelona
18169,2803,Adjunta a la Secretaria Participació Social i Local,Departament de Salut,Montserrat Grané i Alsina,Montserrat,,Grané,8028,Barcelonès,Barcelona
17964,3392,Administració (SMC),Departament de Territori i Sostenibilitat,null,null,,,8029,Barcelonès,Barcelona
18887,2221,Administració de l'Entitat Autònoma Museus d'Arqueologia,Departament de Cultura,Jordi Vela i Martínez,Jordi,,Vela,8038,Barcelonès,Barcelona
18889,2221,Administració de la Biblioteca de Catalunya,Departament de Cultura,Margarita Valverde Hernández,Margarita,Valverde,Hernández,8001,Barcelonès,Barcelona
18886,2221,Administració del Museu de la Ciència i de la Tècnica de Catalunya,Departament de Cultura,Lluís Plaza i Duran,Lluís,,Plaza,8221,Vallès Occidental,Terrassa
721,13760,Advocada de la Generalitat,Departament d'Interior,null,null,,,8009,Barcelonès,Barcelona
14395,4163,Advocada de la Generalitat,"Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",Victòria Cruz Blasco,Victòria,Cruz,Blasco,8007,Barcelonès,Barcelona
15905,4163,Advocada de la Generalitat,"Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",Isabel Molina Roig,Isabel,Molina,Roig,8007,Barcelonès,Barcelona
15623,13760,Advocat de la Generalitat,Departament d'Interior,Xavier Barrachina Vives,Xavier,Barrachina,Vives,8009,Barcelonès,Barcelona
15624,13760,Advocat de la Generalitat,Departament d'Interior,Jordi Utges Dos Santos,Jordi,Utges Dos,Santos,8009,Barcelonès,Barcelona
17053,2803,Advocat de la Generalitat,Departament de Salut,Victoria Martorell de Caralt,Victoria,Martorell de,Caralt,8028,Barcelonès,Barcelona
17471,3392,Aeroport Lleida-Alguaire,Departament de Territori i Sostenibilitat,null,null,,,25125,Segrià,Alguaire
16737,3392,Aeroports de Catalunya,Departament de Territori i Sostenibilitat,Jordi Candela Garriga,Jordi,Candela,Garriga,8005,Barcelonès,Barcelona
