item - centres - c - cp,item - centres - c - com,item - centres - c - pob,item - id,item - dep,item - nom,item - resp,item - iddep
8290,Vallès Occidental,Cerdanyola del Vallès,16286,Departament d'Interior,Divisió de la Sala Central de Bombers,Manel Bosch Serch,13760
null,España,Catalunya,535,Departament de la Presidència,012 Atenció Ciutadana,null,6
,,,3383,Departament de Salut,061 CatSalut Respon,null,2803
,,,18893,Departament de Benestar Social i Família,900 900 120 Contra la violència masclista,null,5823
8243,Bages,Manresa,5502,Departament d'Empresa i Ocupació,ACC1Ó a Comarques Centrals,Montserrat Fontarnau,15638
17002,Gironès,Girona,5504,Departament d'Empresa i Ocupació,ACC1Ó a Girona,Ferran Rodero,15638
25007,Segrià,Lleida,5505,Departament d'Empresa i Ocupació,ACC1Ó a Lleida,Clara Porta Sànchez,15638
25007,Segrià,Lleida,,,,,
NY 10022,Estats Units d'Amèrica,Nova York,5509,Departament d'Empresa i Ocupació,ACC1Ó a Nova York,Clara Barreneche,15638
43004,Tarragonès,Tarragona,5506,Departament d'Empresa i Ocupació,ACC1Ó a Tarragona,Mònica Boquera i Castellví,15638
43500,Baix Ebre,Tortosa,5503,Departament d'Empresa i Ocupació,ACC1Ó a Terres de l'Ebre,Mònica Boquera i Castellví,15638
100-0011,Japó,Tokyo,5508,Departament d'Empresa i Ocupació,ACC1Ó a Tòquio,Akio Hayashiya,15638
8008,Barcelonès,Barcelona,5521,Departament d'Empresa i Ocupació,"AVANÇSA - Empresa de Promoció i Localització Industrial de Catalunya, SA",Felipe Muntadas-Prim Lafita,15638
8017,Barcelonès,Barcelona,18294,Departament de Territori i Sostenibilitat,Adjunt a Direcció,Francesc Giró i Fontanals,3392
,,,14550,Departament de Territori i Sostenibilitat,Adjunt a Gerència,Francesc Camps i Xicart,3392
8009,Barcelonès,Barcelona,15133,Departament de Justícia,Adjunt al Gabinet Tècnic,Bernat Sánchez Blanco,13757
8002,Barcelonès,Barcelona,15018,Departament de la Presidència,Adjunt al Gabinet de Relacions Externes i Protocol de l'Oficina del President,Josep Maria París Artigues,6
8009,Barcelonès,Barcelona,13771,Departament d'Interior,Adjunt al cap del Gabinet del Conseller,Gerard Vidal Pallarès,13760
8007,Barcelonès,Barcelona,19077,"Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",Adjunt al cap del Gabinet del Conseller,Víctor Gonzalo Pérez,4163
8028,Barcelonès,Barcelona,18169,Departament de Salut,Adjunta a la Secretaria Participació Social i Local,Montserrat Grané i Alsina,2803
8029,Barcelonès,Barcelona,17964,Departament de Territori i Sostenibilitat,Administració (SMC),null,3392
8038,Barcelonès,Barcelona,18887,Departament de Cultura,Administració de l'Entitat Autònoma Museus d'Arqueologia,Jordi Vela i Martínez,2221
8001,Barcelonès,Barcelona,18889,Departament de Cultura,Administració de la Biblioteca de Catalunya,Margarita Valverde Hernández,2221
8221,Vallès Occidental,Terrassa,18886,Departament de Cultura,Administració del Museu de la Ciència i de la Tècnica de Catalunya,Lluís Plaza i Duran,2221
8009,Barcelonès,Barcelona,721,Departament d'Interior,Advocada de la Generalitat,null,13760
8007,Barcelonès,Barcelona,14395,"Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",Advocada de la Generalitat,Victòria Cruz Blasco,4163
8007,Barcelonès,Barcelona,15905,"Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",Advocada de la Generalitat,Isabel Molina Roig,4163
8009,Barcelonès,Barcelona,15623,Departament d'Interior,Advocat de la Generalitat,Xavier Barrachina Vives,13760
8009,Barcelonès,Barcelona,15624,Departament d'Interior,Advocat de la Generalitat,Jordi Utges Dos Santos,13760
8028,Barcelonès,Barcelona,17053,Departament de Salut,Advocat de la Generalitat,Victoria Martorell de Caralt,2803
25125,Segrià,Alguaire,17471,Departament de Territori i Sostenibilitat,Aeroport Lleida-Alguaire,null,3392
8005,Barcelonès,Barcelona,16737,Departament de Territori i Sostenibilitat,Aeroports de Catalunya,Jordi Candela Garriga,3392
8005,Barcelonès,Barcelona,18360,Departament de Salut,Agencia de Salut Pública de Catalunya,Antoni Mateu i Serra,2803
8011,Barcelonès,Barcelona,509,Departament d'Economia i Coneixement,Agrupació de Formació Permanent d'Aules per a la Gent Gran de Catalunya (AFOPA),Josep Barriga i Planas,1103
8003,Barcelonès,Barcelona,13405,Departament de la Presidència,Agència Catalana de Cooperació al Desenvolupament,Carles Llorens i Vila,6
8005,Barcelonès,Barcelona,13476,Departament de Salut,Agència Catalana de Seguretat Alimentària (ACSA),null,2803
8008,Barcelonès,Barcelona,5660,Departament d'Empresa i Ocupació,Agència Catalana de Turisme,Xavier Espasa i Añoveros,15638
8036,Barcelonès,Barcelona,10647,Departament de Territori i Sostenibilitat,Agència Catalana de l'Aigua,Jordi Agustí i Vergés,3392
8015,Barcelonès,Barcelona,15437,Departament de Benestar Social i Família,Agència Catalana de la Joventut,Jordi Boixadera i Vinos,5823
8018,Barcelonès,Barcelona,14299,Departament d'Empresa i Ocupació,Agència Catalana del Consum,Alfons Conesa i Badiella,15638
8010,Barcelonès,Barcelona,16456,Departament d'Economia i Coneixement,Agència Tributària de Catalunya,Lluís Franco i Sala,1103
8010,Barcelonès,Barcelona,12101,Departament d'Economia i Coneixement,Agència de Gestió d'Ajuts Universitaris i de Recerca (AGAUR),Pere Pardo i Sabartés,1103
8007,Barcelonès,Barcelona,12315,Departament d'Economia i Coneixement,Agència de Projectes Institucionals (UB),null,1103
8005,Barcelonès,Barcelona,13566,Departament de Salut,Agència de Protecció de la Salut,null,2803
8005,Barcelonès,Barcelona,3016,Departament de Salut,Agència de Qualitat i Avaluació Sanitàries de Catalunya,Josep Maria Argimon i Pallàs,2803
8017,Barcelonès,Barcelona,6341,Departament de Territori i Sostenibilitat,Agència de Residus de Catalunya,Josep Maria Tost i Borràs,3392
43870,Montsià,Amposta,,,,,
17002,Gironès,Girona,,,,,
25007,Segrià,Lleida,,,,,
43004,Tarragonès,Tarragona,,,,,
8023,Barcelonès,Barcelona,14392,Departament de Salut,Agència de Salut Pública de Barcelona,Conrad Casas i Segalà,2803
8008,Barcelonès,Barcelona,5500,Departament d'Empresa i Ocupació,Agència de Suport a l'Empresa Catalana (ACC1Ó),Joan Tarradellas Espuny,15638
8015,Barcelonès,Barcelona,18035,Departament de Territori i Sostenibilitat,Agència de l'Habitatge de Catalunya,Jaume Fornt i Paradell,3392
8007,Barcelonès,Barcelona,,,,,
17500,Ripollès,Ripoll,3724,Departament de Territori i Sostenibilitat,Agència de l'Habitatge de Catalunya a Ripoll,null,3392
8205,Vallès Occidental,Sabadell,9712,Departament de Territori i Sostenibilitat,Agència de l'Habitatge de Catalunya a Sabadell - Barri d'Arraona,null,3392
8018,Barcelonès,Barcelona,10081,Departament d'Economia i Coneixement,Agència per a la Qualitat del Sistema Universitari de Catalunya (AQU),Joaquim Prats i Cuevas,1103
17527,Cerdanya,Llívia,11578,Departament de Benestar Social i Família,Alberg Anna Maria Janer,null,5823
8026,Barcelonès,Barcelona,19074,Departament de Benestar Social i Família,Alberg Barcelona Urbany Hostel,null,5823
8001,Barcelonès,Barcelona,16611,Departament de Benestar Social i Família,Alberg Be Hostels Mar,null,5823
8001,Barcelonès,Barcelona,17655,Departament de Benestar Social i Família,Alberg Be Hostels Sound,null,5823
43595,Terra Alta,Prat de Comte,17656,Departament de Benestar Social i Família,Alberg Ca la Jepa,null,5823
43893,Tarragonès,Altafulla,2553,Departament de Benestar Social i Família,Alberg Casa Gran,null,5823
8001,Barcelonès,Barcelona,11575,Departament de Benestar Social i Família,Alberg Center-Rambles,null,5823
17490,Alt Empordà,Llançà,19071,Departament de Benestar Social i Família,Alberg Costa Brava,null,5823
8007,Barcelonès,Barcelona,19072,Departament de Benestar Social i Família,Alberg Equity Point Centric,null,5823
17002,Gironès,Girona,19073,Departament de Benestar Social i Família,Alberg Equity Point Girona,null,5823
25598,Naut Aran,Salardú,2556,Departament de Benestar Social i Família,Alberg Era Garona,null,5823
25560,Pallars Sobirà,Sort,17658,Departament de Benestar Social i Família,Alberg Escola de Piraguisme de Sort,null,5823
8001,Barcelonès,Barcelona,16610,Departament de Benestar Social i Família,Alberg Ideal Youth Hostel,null,5823
8017,Barcelonès,Barcelona,16606,Departament de Benestar Social i Família,Alberg In/Out,null,5823
43440,Conca de Barberà,L'Espluga de Francolí,2542,Departament de Benestar Social i Família,Alberg Jaume I,null,5823
8320,Maresme,El Masnou,2545,Departament de Benestar Social i Família,Alberg Josep Maria Batista i Roca,null,5823
8023,Barcelonès,Barcelona,2540,Departament de Benestar Social i Família,Alberg Mare de Déu de Montserrat,null,5823
17537,Alp,La Molina,2541,Departament de Benestar Social i Família,Alberg Mare de Déu de les Neus,null,5823
8319,Dosrius,Canyamars,2546,Departament de Benestar Social i Família,Alberg Mas Silvestre,null,5823
43770,Ribera d'Ebre,Móra la Nova,11579,Departament de Benestar Social i Família,Alberg Mas de la Coixa,null,5823
25540,Val d'Aran,Les,2557,Departament de Benestar Social i Família,Alberg Matacabós,null,5823
25632,Pallars Jussà,Castell de Mur,16607,Departament de Benestar Social i Família,Alberg Montsec Mur,null,5823
43580,Baix Ebre,Deltebre,2538,Departament de Benestar Social i Família,Alberg Mossèn Antoni Batlle,null,5823
25589,Pallars Sobirà,Alt Àneu,19075,Departament de Benestar Social i Família,Alberg Món Natura Pirineus,null,5823
17535,Ripollès,Planoles,2550,Departament de Benestar Social i Família,Alberg Pere Figuera,null,5823
8029,Barcelonès,Barcelona,11574,Departament de Benestar Social i Família,Alberg Pere Tarrés,null,5823
43815,Alt Camp,Aiguamúrcia,19070,Departament de Benestar Social i Família,Alberg Pere el Gran,null,5823
17534,Queralbs,Núria,2551,Departament de Benestar Social i Família,Alberg Pic de l'Àliga,null,5823
25286,Solsonès,Navès,10054,Departament de Benestar Social i Família,Alberg Rectoria de la Selva,null,5823
17860,Ripollès,Sant Joan de les Abadesses,16609,Departament de Benestar Social i Família,Alberg Ruta del Ferro,null,5823
43880,El Vendrell,Coma-ruga,2539,Departament de Benestar Social i Família,Alberg Santa Maria del Mar,null,5823
8349,Maresme,Cabrera de Mar,2547,Departament de Benestar Social i Família,Alberg Torre Ametller,null,5823
8018,Barcelonès,Barcelona,19076,Departament de Benestar Social i Família,Alberg Twentytú Hostel,null,5823
8296,Bages,Castellbell i el Vilar,10055,Departament de Benestar Social i Família,Alberg Viladoms de Baix,null,5823
17130,Alt Empordà,L'Escala,2534,Departament de Benestar Social i Família,Alberg d'Empúries,null,5823
17820,Pla de l'Estany,Banyoles,9946,Departament de Benestar Social i Família,Alberg de Banyoles,null,5823
8600,Berguedà,Berga,11576,Departament de Benestar Social i Família,Alberg de Berga,null,5823
25620,Pallars Jussà,Tremp,16604,Departament de Benestar Social i Família,Alberg del Pallars,null,5823
43549,Amposta,Poblenou del Delta,2548,Departament de Benestar Social i Família,Alberg l'Encanyissada,null,5823
8391,Maresme,Tiana,11586,Departament de Benestar Social i Família,Alberg la Conreria,null,5823
8696,Berguedà,La Pobla de Lillet,11580,Departament de Benestar Social i Família,Alberg la Sala,null,5823
25700,Alt Urgell,La Seu d'Urgell,2536,Departament de Benestar Social i Família,Alberg la Valira,null,5823
8500,Osona,Vic,2549,Departament de Benestar Social i Família,Alberg-Residència Canonge Collell,null,5823
17004,Gironès,Girona,2544,Departament de Benestar Social i Família,Alberg-Residència Cerverí de Girona,null,5823
43890,Vandellòs i l'Hospitalet de l'Infant,L'Hospitalet de l'Infant,17657,Departament de Benestar Social i Família,Alberg-Residència Esportiva Àster,null,5823
25003,Segrià,Lleida,2552,Departament de Benestar Social i Família,Alberg-Residència Sant Anastasi,null,5823
43005,Tarragonès,Tarragona,11585,Departament de Benestar Social i Família,Alberg-Residència Sant Jordi,null,5823
17800,Garrotxa,Olot,2543,Departament de Benestar Social i Família,Alberg-Residència Torre Malagrida,null,5823
8800,Garraf,Vilanova i la Geltrú,16608,Departament de Benestar Social i Família,Alberg-Residència Vila-Nova,null,5823
8240,Bages,Manresa,2537,Departament de Benestar Social i Família,Alberg-Residència del Carme,null,5823
,,,17136,Departament de Benestar Social i Família,Albergs,null,5823
43460,Alt Camp,Alcover,17954,Departament de Justícia,Alcover. Servei d'Informació Mediadora (SIM) de l'Ajuntament,null,13757
43870,Montsià,Amposta,17296,Departament de Justícia,Amposta. Servei d'Informació Mediadora (SIM) de l'Ajuntament,null,13757
8193,Vallès Occidental,Cerdanyola del Vallès,9665,Departament d'Empresa i Ocupació,"Applus Iteuve Technology, SL",Ricard Puignou i Vigo,15638
8350,Maresme,Arenys de Mar,17957,Departament de Justícia,Arenys de Mar. Servei d'Informació Mediadora (SIM) de l'Ajuntament,null,13757
8310,Maresme,Argentona,17297,Departament de Justícia,Argentona. Servei d'Informació Mediadora (SIM) de l'Ajuntament,null,13757
8002,Barcelonès,Barcelona,2742,Departament de Cultura,Arts Santa Mònica,Vicenç Altaió i Morral,2221
8193,Vallès Occidental,Cerdanyola del Vallès,12373,Departament d'Economia i Coneixement,Arxiu General i Registre (UAB),null,1103
8006,Barcelonès,Barcelona,2409,Departament de Cultura,Arxiu Joan Maragall,Dolç Nom de Maria Tormo Ballester,2221
8195,Vallès Occidental,Sant Cugat del Vallès,2333,Departament de Cultura,Arxiu Nacional de Catalunya,Josep Maria Sans i Travé,2221
8002,Barcelonès,Barcelona,12577,Departament de Benestar Social i Família,Asatej Viatges,null,5823
8009,Barcelonès,Barcelona,17191,Departament d'Interior,Assessor del conseller en projectes transversals,null,13760
8002,Barcelonès,Barcelona,16389,Departament de la Presidència,Assessor en Matèria de Relacions Institucionals,Juan Vergés Esquena,6
8002,Barcelonès,Barcelona,15938,Departament de Cultura,Assessor en matèria de Coneixements Culturals i Projecció Externa,Daniel Bullich i Escolies,2221
8009,Barcelonès,Barcelona,18353,Departament d'Interior,Assessor en matèria de seguretat pública,Xavier Beltran Serra,13760
8003,Barcelonès,Barcelona,18206,Departament de Governació i Relacions Institucionals,Assessora de la vicepresidenta del Govern en les matèries relacionades amb l'Aran,Empar Serrano i Iglesias,655
8002,Barcelonès,Barcelona,15939,Departament de Cultura,Assessora en matèria de Comunicació i Difusió,Madeline Beach Carey,2221
,,,19069,Departament de Justícia,Assessora en matèria de Relacions i Suport Judicial,Sara Vidal Casellas,13757
8007,Barcelonès,Barcelona,1257,Departament d'Economia i Coneixement,Assessoria Jurídica,Josep Lluís García i Ramírez,1103
8021,Barcelonès,Barcelona,1612,Departament d'Ensenyament,Assessoria Jurídica,Montserrat Pastor i Mesanza,1599
8029,Barcelonès,Barcelona,3408,Departament de Territori i Sostenibilitat,Assessoria Jurídica,Ma. Carme Sardà i Vilardaga,3392
8010,Barcelonès,Barcelona,5049,Departament de Justícia,Assessoria Jurídica,Carles Miquel García Rojo,13757
8039,Barcelonès,Barcelona,5865,Departament de Benestar Social i Família,Assessoria Jurídica,Félix Salaverría i Palanca,5823
8007,Barcelonès,Barcelona,10082,"Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",Assessoria Jurídica,Imma Puigmulé Recasens,4163
8003,Barcelonès,Barcelona,10654,Departament de Governació i Relacions Institucionals,Assessoria Jurídica,Xavier Urios i Aparisi,655
8002,Barcelonès,Barcelona,11008,Departament de la Presidència,Assessoria Jurídica,Mercè Curull Martínez,6
17002,Gironès,Girona,11040,Departament de la Presidència,Assessoria Jurídica,null,6
25003,Segrià,Lleida,11041,Departament de la Presidència,Assessoria Jurídica,null,6
43003,Tarragonès,Tarragona,11042,Departament de la Presidència,Assessoria Jurídica,null,6
8028,Barcelonès,Barcelona,11241,Departament de Salut,Assessoria Jurídica,M. Josep Borras i Pascual,2803
8002,Barcelonès,Barcelona,11473,Departament de Cultura,Assessoria Jurídica,Maria Pilar Bayarri i Roda,2221
43500,Baix Ebre,Tortosa,11907,Departament de la Presidència,Assessoria Jurídica,null,6
8018,Barcelonès,Barcelona,13568,Departament de Governació i Relacions Institucionals,Assessoria Jurídica,Santiago Farré i Tous,655
8009,Barcelonès,Barcelona,13822,Departament d'Interior,Assessoria Jurídica,Marta Gordi i Aguilar,13760
8008,Barcelonès,Barcelona,15733,Departament d'Empresa i Ocupació,Assessoria Jurídica,Rosa Solero Besos,15638
8028,Barcelonès,Barcelona,11284,Departament de Salut,Assessoria Jurídica (CatSalut),null,2803
8002,Barcelonès,Barcelona,13887,Departament de Cultura,Assessoria Jurídica (ICEC),Beatriz Benguría Calera,2221
8007,Barcelonès,Barcelona,7026,Departament de Salut,Assessoria Jurídica (ICS),Eladi Medina Tejada,2803
8007,Barcelonès,Barcelona,14090,Departament d'Economia i Coneixement,Associació Catalana de Comunicació Científica,null,1103
8034,Barcelonès,Barcelona,12232,Departament d'Economia i Coneixement,Associació d'Amics de la UPC (UPC),null,1103
8005,Barcelonès,Barcelona,17363,Departament de Salut,Assumptes Jurídics (Servei Regional a Barcelona),Ruth Molina i Chércoles,2803
8002,Barcelonès,Barcelona,11325,Departament de Governació i Relacions Institucionals,Atenció a Persones Represaliades,M. Jesús Cabrero i Olivan,655
8940,Baix Llobregat,Cornellà de Llobregat,18247,Departament de Salut,Atenció a la Salut Sexual i Reproductiva (ASSIR) 8 de març,null,2803
25620,Pallars Jussà,Tremp,15147,Departament de Salut,Atenció al Ciutadà. Regió Sanitària Alt Pirineu i Aran,Griselda Esquerra i Montseny,2803
43002,Tarragonès,Tarragona,6980,Departament de Salut,Atenció al Ciutadà. Regió Sanitària Camp de Tarragona,Teresa Rabadà i Arnau,2803
